File No,Applicant Name,Location/ Controlled Area,Purpose,Activity,Granted Area,District,CLU Permission on,CLU Corrigendum on,clu_year,Sl. No.,Location on Map
CLU/KL-628,Sh. Shubhash Chandra,Shamgarh G.T. Road 137-138 K.M. Stone (Nilokheri-Taraori),Commercial,Retail Outlet,6037.5sqm.,Karnal,08/05/2006,--,2006,70,Map View
CLU/KL-641,Nirmal Singh,"G.T. Road, Butana (Nilokheri-Taraori)",Institutional,School,9446sqm.,Karnal,16/03/2006,--,2006,39,Map View
CLU/KL-645,M/s Reliance Infocom Ltd.,G.T. Road Uchana (Karnal),Commercial,Communication Tower,133.83sqm.,Karnal,16/01/2006,--,2006,6,Map View
CLU/KL-654,Sh. Surender S/o Sh. Shiv Ram and Sh. Surya Partap Singh S/o Sh. Surender,G.T. Road Jhanjari (Karnal),Commercial,Commercial,12140.5sqm.,Karnal,25/09/2006,--,2006,151,Map View
CLU/KL-656,M/s Doom Valley Trust,"Assandh Road, Chirao Karnal",Institutional,Institutional (B.Ed College),23496sqm.,Karnal,10/07/2006,--,2006,114,Map View
CLU/KL-657,"BTS Tower, M/s Reliance Inocom Ltd.","G.T. Road, Uncha Samana (Karnal)",Commercial,BTS Tower,138.78sqm.,Karnal,27/06/2006,--,2006,108,Map View
CLU/KL-664,Smt. Suman Bala W/o Sh. Rakesh Singla,Meerut Road (Karnal),Commercial,Retail Outlet,1407sqm.,Karnal,31/10/2006,--,2006,165,Map View
CLU/KL-603,M/s Rans Hotels and Resorts Pvt. Ltd.,Gharaunda,Commercial,Hotel & Resorts,8096.92Sq.yds,Karnal,02/08/2007,--,2007,93,Map View
CLU/KL-655,Manoj Bala,Kaithal Road 5 K.M. Stone (Karnal),Institutional,Institutional,8381.51sqm.,Karnal,29/05/2007,--,2007,69,Map View
CLU/KL-669,M/s Jewel Classic Hotel Pvt. Ltd.,"Sec-32, Phooshgarh, Karnal",Commercial,Hotel & Restaurant,12140.5sqm.,Karnal,24/01/2007,--,2007,6,Map View
